Name	GR
YDR442W	0.483
YPL045W	0.422
YNL236W	0.400
YNL025C	0.390
YGR063C	0.388
YJL183W	0.379
YGL035C	0.379
YJL117W	0.379
YNL111C	0.377
YKR096W	0.376
YGL181W	0.376
YHR075C	0.375
YKR103W	0.374
YKL202W	0.373
YHR146W	0.373
YOR216C	0.372
YGR227W	0.370
YPL248C	0.370
YNR010W	0.370
YBR014C	0.369
YHR161C	0.369
YNL106C	0.368
YOL155C	0.368
YBR078W	0.368
YDR200C	0.368
YPL070W	0.368
YJL166W	0.368
YBR020W	0.367
YNL084C	0.367
YOR255W	0.367
YPR167C	0.367
YJR059W	0.367
YHL023C	0.366
YJL020C	0.366
YGL164C	0.366
YJL065C	0.366
YJR048W	0.366
YOR061W	0.366
YLR056W	0.366
YGL151W	0.366
YGR136W	0.365
YMR081C	0.365
YML005W	0.365
YHR171W	0.365
YPR119W	0.365
YPR128C	0.364
YNL001W	0.364
YCL046W	0.364
YCR076C	0.364
YML008C	0.364
YBR016W	0.364
YJL199C	0.364
YFL048C	0.364
YHR106W	0.363
YBR134W	0.363
YLR054C	0.363
YPL006W	0.363
YOR161C	0.363
YDL019C	0.363
YLR177W	0.363
YPL069C	0.363
YLL020C	0.363
YKR023W	0.362
YNL167C	0.362
YOR178C	0.362
YJL077C	0.362
YOR348C	0.362
YER161C	0.362
YNL224C	0.362
YLR023C	0.362
YLR111W	0.361
YPR070W	0.361
YJR049C	0.361
YDR179C	0.361
YLL059C	0.361
YJL119C	0.361
YOR304C-A	0.361
YDR395W	0.361
YDL198C	0.361
YLL019C	0.361
YOR170W	0.361
YNL105W	0.361
YMR144W	0.361
YKL091C	0.360
YLR181C	0.360
YNR030W	0.360
YDR507C	0.360
YOR233W	0.360
YJR031C	0.359
YLR065C	0.359
YDR514C	0.359
YJL201W	0.359
YCR073W-A	0.359
YOR156C	0.359
YNL311C	0.359
YAL042W	0.359
YKR056W	0.359
YOR113W	0.359
YGR107W	0.359
YDR111C	0.359
YOR328W	0.359
YKR102W	0.359
YDL156W	0.359
YKR073C	0.359
YKR046C	0.358
YHR086W	0.358
YMR214W	0.358
YML051W	0.358
YGR064W	0.358
